German,Occidental
Resonanz,resonantie
"widerhallen, erschallen, ertönen",resonar
wieder aufsaugen,resorpter
respektieren,respectar
Respekt,respecte
respektvoll,respectosi
atmen,respirar
Atmung,respiration
Atmungs,respiratori
"Atempause, Ruhepause",respít
antworten,responder
verantwortlich,responsabil
Verantwortung,responsabilitá
verantworten,responsar
Antwort,response
Feder (mechanisch),ressor
gehören zu,ressortissar
"Ressource, Hilfsquelle",ressurse
"Überrest, Überbleibsel",restage
übrig,restant
bleiben,restar
"wiederherstellen, restaurieren",restaurar
"Wiederherstellung, Restauration",restauration
Restaurator,restaurator
Rest,reste
zurückerstatten,restituer
Rückerstattung,restitution
"sich erquicken, restaurieren",restorar
Restaurant,restorería
"einschränken, beschränken",restricter
"Einschränkung, Beschränkung",restriction
"einschränkend, beschränkend, restriktiv",restrictiv
schließlich,resultant
"resultieren, zum Ergebnis haben",resultatar
"Ergebnis, Resultat",resultate
"resümieren, kurz zusammenfassen",resumar
Kurzzusammenfassung,resumate
"Kurzzusammenfassung, Resümee",resumé
wieder aufstehen,resurecter
Wiederauferstehung,resurection
"Wiederaufrichtung, Wiederherstellung",retablissement
"wieder aufrichten, wiederherstellen",retablisser
Netzwerk,retage
"Verspätung, Aufschub, Verzögerung",retardament
"nachgehen (Uhr), aufschieben, aufhalten, verspäten",retardar
"Verspätung, Verzögerung",retarde
Netz,rete
"behalten, zurückbehalten",retener
Zurückhaltung,retension
Einbehaltung,retention
"Handtasche, Strickbeutel",reticul
Netzhaut (des Auges),retine
"(sich) zurückziehen, in den Ruhestand gehen",retirar (se)
Rückzug,retiration
Ruhestand,retiratie
"Rhetorik, Redekunst",retorica
rhetorisch,retorical
Rückkehr,retorn
zurückkehren,retornar
"widerrufen, sein Wort zurücknehmen",retractar
Widerruf,retractation
zurückziehen,retraer
Rückzug,retraida
zurück,retro
zurückzahlen,retropayar
wieder finden,retrovar
"retuschieren, nachbessern",retuchar
"Retusche, Nachbesserung",retuche
Rheuma,reuma
rheumatisch,reumatic
Rheumatismus,reumatisme
vereinigen,reunir
"Wiedervereinigung, Treffen, Zusammenkommen",reunion
"verträumt, träumerisch",revaci
"sich revanchieren, vergelten",revanchar
"Vergeltung, Erwiderung, Revanche",revanche
(wach) träumen,revar
Tagtraum,reve
"enthüllen, offenbaren",revelar
"Enthüllung, Offenbarung",revelation
"enthüllend, offenbarend",revelativ
Enthüller,revelator
Tagwacht (mil.),revellie
"Rückkehr, Zurückkommen",revenida
"zurückkommen, wiederkommen",revenir
"Vergeltung, Rache",revenja
"vergelten, rächen",revenjar
"einträchtig, geldträchtig",revenosi
Einkommen,revenú
widerhallen,reverberar
Verehrung,reverentie
verehren,reverer
Träumerei,reveríe
"umgekehrt, rückseitig",reversal
umkehren,reversar
"Rückseite, Kehrseite",reverse
"umkehrbar, reversibel",reversibil
Umkehrung,reversion
"umkehren, herumdrehen",reverter
Wiedersehen,revide
auf Wiedersehen,til revide
wiedersehen,revider
Wiedersehen,revidentie
auf Wiedersehen,a revidentie
"revidieren, durchsehen",reviser
"Revision, Durchsicht, Wiederaufnahme",revision
Revisor,revisor
wiederbeleben,reviventar
wiederbeleben,revivificar
Wiederbelebung,revivification
"abberufen, absetzen, widerrufen",revocar
ins Gedächtnis rufen,revocar in mente
"Abberufung, Absetzung, Widerruf",revocation
revoltieren,revoltar
umdrehen (astrom.),revoluer
Revolution,revolution
revolutionär,revolutionari
Revolutionär,revolutionario
Revolver,revólver
träumerisch,revosi
Zeitschrift,revúe
"heftig ableiten, abstoßen",revulser
Abstoßung,revulsion
"abstoßend, ekelig",revulsiv
König,rey
königlich,reyal
Royalismus,reyalisme
"Royalist, Königstreuer",reyalist
Königreich,reyatu
Vereinigtes Königreich,Reyatu Unit
"vorherrschend, weit verbreitet, modisch",reyent
Regent,reyente
Regentschaft,reyentie
herrschen,reyer
Königin,reyessa
Königreich,reyia
Königsmord,reyinicidie
Rhein,Rhen
"rheinisch, Rhein-",rhenan
Rhodesien,Rhodesia
rhodesisch,rhodesian
Rhodium,rhodium
"Grinsen, Hohnlächeln",ricanament
"grinsen, hohnlächeln, albern kichern",ricanar
reich,rich
Reicher,richard
Reichtum,richesse
abprallen,ricochettar
Abprall,ricochette
lachen,rider
lächerlich,ridicul
lächerlich machen,ridiculisar
Riff,riff
"steif, starr",rigid
"steif werden, erstarren",rigider
"Härte, Starre",rigiditá
"Strenge, Härte",rigore
"starr, hart, rigoros, streng",rigorosi
Reim,rim
reimen,rimar
Kompensation,rimborsament
"zurückzahlen, nachzahlen",rimborsar
"Rückzahlung, Nachnahme",rimborse
Reimer,rimero
"Nashorn, Rhinozeros",rinócero
"abspülen, abwaschen, ausspühlen",rinsar
"Spüle, Waschbecken",rinsuore
"schlagfertige Antwort, Riposte (Fechten)",riposte
Reis,ris
Risiko,risca
riskant,riscant
riskieren,riscar
risikoreich,riscosi
Lachen,rise
Reisfeld,risiera
"lachhaft, lächerlich",risibil
"Lachen, Gelächter",rision
Ries (500 Blatt Papier),risme
Frikadelle,rissole
Rhythmus,ritme
rhythmisch,ritmic
Rhythmische Sportgymnastik,ritmic-gimnastica
Rhythmik,ritmica
Ritus (rel.),ritu
rituell,ritual
Ritual,rituale
Rivale,rivale
rivalisieren,rivalisar
"Ufer, Gestade",rive
Fluss-,riveran
Fluss,rivere
"Flüsschen, Bach",riverette
nieten,rivetar
Vernietung,rivetation
Nieten,rivete
"raufen, prügeln",rixar
"Raufbold, Hooligan",rixard
"Rauferei, Keilerei",rixe
Rotschimmel,roan
Kleid,robe
Wasserhahn,robinete
robust,robust
Fels,rocca
"Gestein, Felsen",roccage
Schutt,roccallia
felsig,roccosi
Rokoko,rococo
Nagetier,rodente
nagen,roder
Rhododendron,rododéntron
Rolle,rol
Roman,roman
Romanze,romance
romanisch (Sprache),romanic
romanisieren,romanisar
romantisch,romantic
Romantik,romantica
Raute,rombe
"rautenhaft, rautenförmig",romboid
Schnarchen,ronca
Geschnarche,roncada
schnarchen,roncar
Schnarcher,roncator
rund,rond
Runde,ronde
Rondell,rondelle
Rundheit,rondesse
Umfang,rondore
Schnurren,ronronada
schnurren,ronronar
Rakete,roquette
rosarot,ros-rubi
Rosenkranz,rosarium
Roastbeef,rosbif
"rosafarben, rosig",roscolori
Rose,rose
Röteln (Krankheit),roseola
Rosette,rosette
rosa,rosi
Rosenbusch,rosiero
Rosine,rosine
"Nagen, Durchnagen, Zerfressen",rosion
Rosmarin,rosmarine
Nager,rosor
Kröte,rosp(e)
"kupferfarbig, rotbraun",ross
"braten, rösten",rostar
Rad,rot
"Rotation, Drehung",rotation
rotieren,rotar
rotierend,rotari
Rotor,rotator
Zahnrad,rote dentat
Rotor,rotor
Kniescheibe,rotul
"Rundbau, Rotunde",rotunde
rot färben,rubar
Rhabarber,rubarbe
rot,rubi
Rouge (Schminke),rubi crayon
Rotes Meer,Rubi Mare
Röte,rubie
erröten,rubijar
rötlich,rubin
Rubin,rubine
"Rothaut, Indianer",rubipelle
Röte,rubore
"Rubrik, Abteilung, Titel",rubrica
Rüsche,ruche
aufstoßen (aus dem Magen),ructar
Aufstoßen,ructation
Girren,ruculada
girren (von Vögeln),rucular
"rau, holprig, hart, abstoßend",rud
"Rauheit, Härte",rudesse
Anfangsgründe,rudiment
rudimentär,rundimentari
"Rauheit,Härte",ruditá
"Falte, Runzel",ruga
"in Falten legen, runzeln",rugar
Rugby,rugby
Gebrüll,rugida
"Brüllen, Gebrüll",rugiment
brüllen,rugir
"faltig, runzelig",rugosi
Faltigkeit,rugositá
"ruinieren, zerstören",ruinar
Ruine,ruine
ruinös,ruinosi
"Rolle, Spule",rul
rollen,rular
Roulette,rulette
Rum,rum
Rumänien,Rumania
rumänisch,rumanian
Rumba,rumba
Rune,rune
"wiederkäuend, grübelnd",ruminant
"wiederkäuen, grübeln",ruminar
"Wiederkäuen, Grübeln",rumilation
Gerücht. Leises Geräusch,rumore
Eisbrecher,rupte-glacie
Wellenbrecher,rupte-unde
Einbrecher,ruptefurtard
Einbruch,ruptefurte
"brechen, zerbrechen",rupter
zerbrechlich,ruptibil
Brechen,ruption
Bruch,ruptura
ländlich,rural
"Land-, bäuerlich",ruran
"Bauer, Landbewohner",rurane
"Land, ländlicher Raum",rure
"Russisch, russisch",russ
Russland,Russia
"ländlich, bauernhaft, rustikal",rustic
Bauerntölpel,rustico
"Weg, Richtung",rute
routiniert,rutinari
Routine,rutine
Sabbat,sabbát
Sand,sable
Sandstein,sable-petre
"ein Schiff anbohren, um es zu versenken",sabordar
sabotieren,sabotar
Sabotage,sabotage
Säbel,sabre
"Tasche, Sack",sac
Sackleinen,sac-linage
"Süßstoff, Sacharin",sacarine
priesterlich,sacerdotal
Priester,sacerdote
Priesteramt,sacerdotie
Heiligtum,sacrage
Sakrament,sacrament
Sakrament-,sacramental
"heilig, geweiht",sacri
opfern,sacrificar
Opferung,sacrification
Opfer,sacrificie
"Sakrileg, Entweihung",sacrilegie
Sakristei,sacristia
sakrosankt,sacrosant
Sackgasse,sacstrade
Saphir,safire
Safran,safran
scharfsinnig,sagaci
Scharfsinn,sagacitá
"Sage, Legende",saga
"weise, besonnen, vernünftig, gelassen, sittsam",sagi
Saal,sala
Wartesaal,sala de atende
Turnhalle,sala gimnastic
Salat,salade
"Salatgefäß, Salatschüssel",saladiere
Salamander,salamandre
Schlampe,salapona
salzen,salar
entlohnen,salariar
"Lohn, Gehalt, Salär",salarie
"Saldo, Bilanz",saldo
Salz,sale
"hervorspringend, auffallend",salient
Vorsprung (Felsvorsprung),salientie
Salzbergwerk,saliera
"Salzgefäß, Salzfass",saliere
"Salz-, salzhaltig",salin
speicheln,salivar
"Speichel, Spucke",salive
Lachs,salmon
Wohnzimmer,salon
"schmutzig, Pfusch-",salop
salzig,salosi
Salpeter,salpetre
"Wurst, Würstchen",salsice
Sprung,salta
Springen,saltada
"springen, hüpfen",saltar
Heuschrecke,saltarelle
"gesund, der Gesundheit zuträglich, heilsam",salubri
Gesundheit,salubritá
grüßen,salutar
"gesund, nützlich",salutari
Gruß,salutation
hallo,salute
"heil, unbeschädigt, wohlbehalten",salv
bergen,salvagear
retten,salvar
Rettung,salvation
Retter,salvator
rettend,salvatori
Salve,salve
Salbei,salvia
"gleich, selber",sam
gleichzeitig,in sam témpor
Samowar,samovar
gesund,san
gesund werden,sanar
Gesundung,sanation
Sanatorium,sanatoria
"Zustimmung, Bestätigung, Genehmigung, Sanktion",sanction
"sanktionieren, ahnden, bestätigen",sanctionar
Sand,sand
Sandbank,sand-banca
Sandriff,sand-riff
Sandale,sandale
sandig,sandosi
Sandwich,sandwich
bluten,sanguar
Blutung,sanguation
Blut,sangue
Blutwurst,sangue-salsice
"Bluts-, aus Blut",sanguin
Blutegel,sanguisuc
Gesundheit,sanitá
Gesundheit! Prost!,sanitá!
"hygienisch, gesund",sanitari
heilig,sant
Karfreitag,Sant Venerdí
Heiligkeit,santesse
heiligen,santificar
Heiligung,santification
Heiligkeit,santitá
Heiligtum,santuarium
Schuh,sapate
Schuhmacher,sapero
Schuhgeschäft,sapería
schmackhaft,sapid
gelehrt,sapient
"Weisheit, Gelehrsamkeit",sapientie
Seife,sapon
Seifenlauge,sapon-lixive
einseifen,saponar
Seifenschale,saponette
"voller Seife, seifig",saponosi
"kosten, schmecken",saporar
Geschmack (einer Speise),sapore
köstlich,saporosi
untergraben,sappar
Pionier,sappero
Sarazene,saracen
Sarkasmus,sarcasme
"sarkastisch, höhnisch",sarcastic
jäten,sarclar
Sarg,sarco
Sarkophag,sacro-fago
Sardine,sardine
Sardinien,Sardinia
"süffisant, sardonisch",sardonic
"Ranke, Rebe",sarment
ranken,sarmentar
"genug, satt",sat
satanisch,satanic
"Satan, Teufel",satano
Satellit,satelite
sättigen,satiar
"Sattheit, Fülle",satie
"Sattheit, Fülle",satietá
Satin,satine
Satire,satire
satirisch,satiric
Satiriker,satirist
Satyr,satiro
befriedigen,satisfar
"zufrieden, befriedigt",satisfat
Befriedigung,satisfation
"befriedigend, zufriedenstellend",satisfatori
gesättigt,satur
sättigen,saturar
Sättigung,saturation
"Samstag, Sonnabend",saturdí
Sättigung,saturitá
"Soße, Sauce, Tunke, Brühe",sauce
Sauciere,sauciere
Saudi-Arabien,Saudi Arabia
Sauerkraut,sauerkraut
"wild, ungesittet, scheu",savagi
Wildnis,savagia
Wilder,savagio
Wildheit,savagitá
wissend,savent
Wissen,saventie
wissen,saver
"kosten, schmecken",savurar
"geschmackreich, köstlich",savurosi
Sachsen,Saxonia
sächsisch,saxonic
Saxofon,saxofon
Schemel,scabelle
"Krätze, Räude",scabie
"krätzig, räudig",scabiosi
"Verfallen, Auslaufen",scadentie
"verlaufen (Wechsel usw.), auslaufen",scader
"Schrank, Kasten",scaf
Baugerüst,scafalde
Tauchanzug,scafandre
Taucher (professioneller),scafandriero
Schafott,scafote
"(mit Leitern) ersteigen, erstürmen",scaladar
erhitzen,scaldar
Leiter,scale
Treppe,scaliere
Wendeltreppe,scaliere tornant
"Kopfhaut, Skalp",scalp
skalpieren,scalpar
Skalpell,scalpel
"Treppenstufe, Leiterstufe",scalun
Skandal,scandale
skandalisieren,scandalisar
skandalös,scandalosi
"scannen, abtasten",scander
Skandinavien,Scandinavia
"Scannen, Abtasten",scansion
Schulterblatt,scapul
Käfer,scarabé
"schröpfen, ängstigen",scarificar
Schröpfung,scarification
Schröpfer,scarificator
scharlachfarben,scarlat
Scharlach (Krankheit),scarlatine
"Scharmützel, Geplänkel (mil.)",scarmuche
"steil, abschüssig",scarp
"schräg abfallen, neigen",scarpar
"Steilhang, Böschung",scarpe
karg,scarsi
Schatulle,scatulle
Schema,schema
schematisch,schematic
"Schisma, Spaltung",schisma
schismatisch,schismatic
Schiefer,schist
scholastisch,scholastic
"1. Szene, 2.Bühne",scene
szenisch,scenic
skeptisch,sceptic
Skeptizismus,scepticisme
Skeptiker,sceptico
Zepter,sceptre
Ischias,sciática
wissenschaftlich,sciential
wissenschaftlich,scientic
Wissenschaft,scientie
Naturwissenschaft,scientie natural
wissenschaftlich,scientific
Wissenschaftlers,scientist
Funken sprühen,scintillar
Sprühen (Funken),scintillation
Funke,scintille
Versklavung,sclavage
Sklaverei,sclaveríe
sklavisch,sclavic
"Sklaventum, Sklaverei",sclavitá
Sklave,sclavo
schleusen,sclusar
Schleuse,scluse
"Schleuser, Schleusenwärter",sclusero
Fortbildungsschule,scol de perfectionament
Schule (Schulgebäude),scola
schulisch,scolari
"Schule (System, Lehre)",scole
Schüler,scolero
"Ziel, Zweck",scope
Skorpion,scorpion
Schottland,Scotia
Schottisch (Tanz),scottish
"Scout, Pfadfinder, Späher",scout
Pfadfindertum,scoutisme
abkratzen,scrapar
"Raspel, Reibeisen",scrapette
"Raspel, Reibeisen",scrappuore
Bildschirm,scren
Schreibmaschine,scri-machine
"Handschrift, Schreibweise",scri-maniere
"schmieren, kritzeln",scriachar
schreiben,scrir
Schreibtisch,scri-table
Schrift,scrite
Schreibung,scrition
schriftlich,scritiv
Schreiber,scritor
"Schreibzeug, Schreibtisch",scrituore
Schrift,scritura
"Skrupel, Bedenken",scrupul
skrupelhaft,scrupulosi
Skrupelhaftigkeit,scrupulositá
"Untersuchung, Prüfung",scrutine
Schraube,scruv
Handbohrer,scruv-forette
Schraubenzieher,scruv-tornator
schrauben,scruvar
Schrauben,scruvation
Schraubenmutter,scruviere
"Schild, Thaler",scud
Napf,scudell
Knappe,scudero
"aushauen, schnitzen",sculpter
Bildhauer,sculptor
Skulptur,sculptura
Schaum,scum
schäumend,scumant
schäumen,scumar
aufschäumen,scumear
schäumend,scumosi
Stinktier,scunc
Schoner (Schiff),scune
scheuern,scurar
Eichhörnchen,scurel
"skurril, possenhaft",scuril
"Skurrilität, Possenhaftigkeit",scurilitá
sich (Reflexivpronomen 3. Pers. Sgl. und Pl.),se
"Talg, Unschlitt",sebe
talgig,sebic
"talgig, voller Talg",sebosi
Roggen,secale
"absperren, absondern",secluder
"Absperrung, Abgeschiedenheit",seclusion
Sekunde,seconde
ausscheiden,secreer
"geheim, heimlich",secret
Sekretär,secretario
Geheimnis,secrete
Ausscheidung,secretion
sekrethaft,secretori
Sekte,secta
"sektiererisch, sektenhaft",sectari
"Sektenanhänger, Sektierer",sectano
sektiererisch,sectant
Sektierer,sectario
"schneiden, wegschneiden, abschneiden, durchschneiden",secter
Sektion,section
Sektor,sector
Jahrhundert,secul
säkular,seculari
säkularisieren,secularisar
"gemäß, laut",secun
meiner Meinung nach,secun mi opinion
zweiter,secund
Sekundant (Duell),secundante
sicher,secur
sichern,securar
Sicherheit,securitá
Beruhigungsmittel,sedative
Sitzplatz,sede
"sich hinsetzen, sich setzen",sedentar se
sitzen,seder
"Bodensatz, Niederschlag",sediment
sedimentär,sedimentari
"Aufruhr, Aufstand",sedition
aufrührerisch,seditiosi
satteln,sedlar
Sattelung,sedlation
Sattlerei,sedlería
Sattler,sedlero
Sattel,sedle
verführen,seducter
Verführung,seduction
verführerisch,seductiv
Verführer,seductor
Säge,sega
Sägemehl,segallia
sägen,segar
Sägewerk,segarería
Sägen,sagation
Säge,saguore
segeln,seglar
Segeln,seglation
Segler,seglator
Segel,segle
Segeltuch,segle-drap
"Rah, Rahe (Segeln)",segle-pal
Segler,seglero
Aufenthalt,sejorn(e)
sich aufhalten,sejornar
aussuchen,selecter
Auswahl,selection
selektiv,selectiv
Sellerie,selerí
selbst,self
Selbstvertrauen,self-confidentie
selbstbewusst,self-conscient
Selbsttötung,self-mortation
selbstzufrieden,self-satisfat
Küstentelegraph,semafore
wöchentlich,semanal
Woche,semane
säen,semar
"anscheinend, scheinbar",semblant
"Anschein, Schein",semblantie
"scheinen, erscheinen, den Anschein haben",semblar
sähen,semar
Sähen,semation
Same,seme
Säher,semero
Semester,semestre
halb,semi
Seminar,seminarie
Grieß,semol
immer,sempre
Senat,senat
Senator,senator
"senil, greisenhaft",senil
"Senilität, Greisenhaftigkeit",senilitá
"1. als Substantiv: Herr, 2 als Adjektiv: älter",senior
Frau (Anrede),seniora
Fräulein,senioretta
Sensation,sensation
sensationell,sensational
"Sinn, Bedeutung",sense
"sensibel, empfindungsfähig",sensibil
sensitiv,sensitiv
Sinn (physisch),sensu
"sinnlich, lustbetont",sensual
"Sinnlichkeit, Lust",sensualisme
"bestrafen, verurteilen",sentenciar
"Urteil, Sittenspruch, Lehrspruch",sentencie
spürbar,sentibil
"Gefühl, Empfindung",sentie
"empfindlich, sentimental",sentimemental
"Gefühl, Empfindung",sentiment
Gefühl,sentiment
Schildwacht,sentinelle
"fühlen, empfinden",sentir
vermissen,sentir li manca de
Kelchblatt,sepal
trennen,separar
"separat, getrennt",separat
"Trennung, Teilung",separation
trennend,separativ
September,septembre
septisch,septic
beerdigen,sepulter
"Totengräber, Bestatter",sepultor
Friedhof,sepultoria
Grab,sepultura
"nächster, folgender",sequent
"Folge, Abfolge, Sequenz",sequentie
folgen,sequer
abkapseln,sequestar
Mammutbaum,sequioa
Serail,serái
"Serbisch, serbisch",serb
Serbien,Serbia
Suche,sercha
suchen,serchar
Sucher,serchero
"heiter, froh",seren
"Serenade, Abendmusik",serenade
"Heiterkeit, Frohsinn",serenitá
"Feldwebel, Sergeant, Wachtmeister",sergente
seriell,serial
Serie,serie
Kanarienvogel,serine
"ernst, ernsthaft, bedenklich",seriosi
Predigt,sermon
predigen,sermonar
"Ernst, Ernsthaftigkeit",seriositá
Schlange,serpent
schlängeln,serpentar
"sich winden, sich schlängeln",serpentear
"pressen, einklemmen, staff anziehen",serrar
Verschluss,serratura
"Schloss, Türschloss",serrure
Schlosserei,serrureríe
Schlosser,serrurero
Serum,serum
Molke,serum de lacte
Leibeigene,serva
Leibeigenschaft,servage
"Kellner, Diener",servero
"Geschirr, Besteck, Tischgeschirr",service
Dienst,servicie
dienstbar,servient
Serviette,serviette
"servil, knechtisch, niedrig",servil
Servilität,servilitá
"dienen, bedienen, auftragen, nützen",servir
sich bedienen,servir se
"Steward, Diener",servitor
Leibeigener,servitutario
Dienstbarkeit,servitute
Leibeigener,servo
Jahreszeit,seson
Sitzung,session
Schwester,sestra
Seide,seta
"seidern, aus Seide",setin
Durst,sete
durstig,setosi
"sieben, 7",sett
"siebzig, 70",settant
Siebzigjähriger,settantario
siebzigster,settantesim
"siebenhundert fünfundsechzig, 765",settcent sixantquin
siebter,settesim
"streng, hart",severi
Sextant,sextante
Geschlecht,sexu
"sexuell, geschlechtlich",sexual
Sexualität,sexualitá
Sphäre,sfere
sphärisch,sferic
Sphinx,sfinxe
Shampoo,shampun
Shorts,short
"wenn, falls, ob",si
"andernfalls, wenn nicht",si ne
zischen,sibilar
trocken,sicc
"abtrocknen, trocknen",siccar
Trocknung,siccaration
Trockenheit,siccitá
"Trockenheit, Dürre",siccore
Sizilien,Sicilia
"Siesta, Mittagspause",siesta
Pfeifen,siffla
"Pfeifen, Gepfeife",sifflada
pfeifen,sifflar
Pfeife,siffluore
Syphilis,sifilise
signalisieren,signalar
Signal,signale
unterschreiben,signar
Unterzeichner,signatario
Unterschrift,signatura
"kennzeichnen, unterschreiben, unterzeichnen",signar
Zeichen,signe
bedeuten,significar
Bedeutung,signification
"schweigsam, still",silent
"Schweigen, Stille",silentie
"schweigsam, still",silentiosi
Elfe,silf
"Luftgeist, Elfe",silfa
Kieselerde,silica
Silikat,silicate
Kieselerde,silice
Seide,silk
"aus Seide, Seiden-",silkin
Schwelle,sill
Silbe,síllabe
Silo,silo
Silhouette,siluette
Wald,silva
Wald-,silvin
bewaldet,silvosi
Symbiose,simbiose
Symbol,simbol
symbolisch,simbolic
symbolisieren,simbolisar
Symbolismus,simbolisme
symmetrisch,simetric
Symmetrie,simetrie
symphonisch,simfonic
Symphonie,simfonie
Menschenaffe,simian
affenhaft,simiatri
Affe,simie
affig,simiesc
"ähnlich, gleichartig",simil
"ähneln, gleichen",similar
Ähnlichkeit,similitá
Affe,simio
sympathisch,simpatic
Sympathie,simpatíe
Einfachheit,simplesse
"einfach, einfältig",simplic
"Einfachheit, Einfalt",simplicitá
vereinfachen,simplificar
"Vereinfachung, Simplifizierung",simplification
Einfaltspinsel,simplon
Symposium,simposium
Symptom,simptoma
symptomatisch,simtomatic
simulieren,simular
Simulation,simulation
"simultan, gleichzeitig",simultan
Gleichzeitigkeit,simultanitá
ohne,sin
Synagoge,sinagoga
Senf,sinap
aufrichtig,sinceri
Synkope,sincope
synchronisieren,sincronisar
Synchronisation,sincronisation
gewerkschaftlich,sindical
Syndikalismus,sindicalisme
Gewerkschaft,sindicate
Syndikat,sindicatu
"Rechtsbeistand, Konkursverwalter, Bürgermeister (frz. Schweiz)",sindico
Sinekure (einträgliches Amt ohne eigentliche Arbeit),sinecura
schluchzen,singlutar
einzelne,singul
Singular,singulare
"singulär, einzigartig",singulari
"Singularität, Einzigartigkeit",singularitá
"Unheils verkündend, unheimlich",sinistri
unheimlich,sinistrosi
arbeitslos,sinlabor
arbeitslos sein,sinlaborar
Synode,sinode
"sinnverwandt, synonym",sinonim
"Synopse, Verknüpfung",sinopse
synoptisch,sinoptic
syntaktisch,sintactic
"Syntax, Satzbau",sintaxe
Synthese,sintese
synthetisch,sintetic
Busen,sinu
sich schlängelnd,sinuosi
schlängelnde Bewegung,sinuositá
Sinus (math.),sinus
"BH, Büstenhalter",sinushalter
Sirene (mythologisch),sirana
Sirene,sirene
Syrien,Siria
Sirup,sirop
sirupartig,siroposi
nippen,sirotar
Erdbeben,sisme
Seismologe,sismologo
Seismologie,sismologie
System,sistema
Sonnensystem,sistema solari
systematisch,sistematic
systematisieren,sistematisar
Eimer,sitell
"hinsetzen, hinstellen",situar
Situation,situation
"sei es, dass",sive ... sive
"sechs, 6",six
"sechzig, 60",sixant
sechzigster,sixantesim
sechster,sixesim
Schock,sixtene
Siegel,siyill
besiegeln,siyillar
Siegelung,siyallation
Ski,ski
Skispringen,ski-saltation
Ski fahren,skiar
Schlamm,slamm
Schlammgrube,slammiera
"Slang, Rotwelsch",slang
Slawin,slava
slawisch,slavic
Slawe,slavo
Schleifstein,slif-petre
schleifen,slifar
Schleifstein,slifuore
schleudern,slingar
Badehose,slip de balne
Schlitten,slitt
"gleiten, schlittern",slittar
"Schlittern, Rodeln",slittation
Schlitten,slittuore
Slowakei,Slovakia
Slowenien,Slovenia
Smaragd,smeralde
Schmirgel,smeril
"Schnüffeln, Schnuppern",slifflada
"schnüffeln, schnuppern",sniffar
Schnupftabak,sniffle-tabac
Abendgesellschaft,soaré
"nüchtern, mäßig",sobri
Nüchternheit,sobritá
sozial,social
Sozialismus,socialisme
Sozialist,socialist
"Gesellschaft, Gemeinschaft",societá
Gesellschaft,societé
Aktiengesellschaft,societé actionari
Soziologie,sociologie
"Sockel, Untersatz",socle
Soda,soda
Sofa,sofa
"hauchen, wehen",sofflar
"Hauch, Odem, Wehen (des Windes)",soffle
Sophist,sofist
Sophistik,sofistica
sophistizieren,sofisticar
Sophismus,sofisme
Soldat,soldate
Soldateska,soldatesca
"allein, nur, bloß",sol
"Sonnen-, solar",solari
Fünf-Centime-Münze,soldo
Sonne,sole
"Sprachfehler, Verstoß gegen den Syntax",solecisme
Sonntag,soledí
feierlich,solemni
Feierlichkeit,somlemnitá
"sich bewerben, bitten um, ansuchen",solicitar
"Antragsteller, Bewerber",solicitator
"Bewerbung, Antrag",solicitation
"Sorgfalt, Fürsorge",solicitude
solidarisch,solidari
Solidarität,solidaritá
"festmachen, fest werden",solidificar
Solist,solist
Einsamkeit,solitá
"einsam, allein, unbewohnt, einzeln",solitari
Einzelgänger,solitario
nur,solmen
Solo,solo
Sonnenwende,solsticie
lösen,soluer
lösbar,soluibil
Lösbarkeit,soluibilitá
Lösung,solution
Lösungsmittel (chem.),solutive
träumen,somniar
schlafwandeln,somnambular
Schlafwandeln,somnambulisme
Schlafwandler,somnambulist
Traum,somnie
Träumerei,somnieríe
Träumer,somnion
"träumerisch, verträumt",somniosi
Gipfel,sómnit(e)
"schläfrig, schlaftrunken",somnolent
"Schläfrigkeit, Schlaftrunkenkeit",somnolentie
schlaftrunken sein,somnoler
"Klang, Ton",son
klingen,sonar
Sonate,sonata
"Tönen, Klingen",sonation
untersuchen,sondar
"Sonde, Senkblei",sonde
Klingel,sonette
Sonett,sonetto
"klangvoll, tönend, klingend",sonori
"klingend, klangvoll, laut",sonosi
Klapperschlange,sonserpente
Klingel,sonuore
Sopranist,soprano
schlürfen,sorbir
zaubern,sorciar
Zauber,sorcie
Hexe,sorciera
"Hexerei, Zauberei",sorcieríe
Magier,sorciero
Schmutzigkeit,sordesse
"schmutzig, geizig, filzig",sordid
"Schmutz, Dreck",sordidage
beschmutzen,sordidar
"Art, Sorte",sorte
"Auswahl, Sortiment",sortiment
sortieren,sortir
Doppelgänger,sosie
seufzen,sospirar
Seufzer,sospire
oft,sovente
souverän,soverani
Souveränität,soveranitá
Herrscher,soverano
räumlich,spacial
"Raum, Fläche",spacie
"geräumig, bequem, breit",spaciosi
"mit dem Spaten graben, schaufeln",spadar
Spaten,spade
Ersparnis,sparniage
sparen,sparniar
Sperling,sparro
"Krampf, Spasma, Zuckung",spasma
"krampfhaft, spasmatisch",spasmatic
Spatel,spatul
Sperber,sparvero
"besonders, speziell, Sonder-",special
spezialisieren,specialisar
Spezialisierung,specialisation
Spezialist,specialist
Spezialität,specialitá
"Art, Gattung",specie
spezifisch,specific
spezifizieren,specificar
"Probe, Muster",specimen
"Vorstellung, Anblick, Schauspiel",spectacul
spektakulär,spectaculari
"zuschauen, betrachten",spectar
Zuschauer,spectator
"Gespenst, Spektrum",spectre
spekulieren,specular
Spekulation,speculation
spekulativ,speculativ
Spekulant,speculator
Spiegel,spegul
spiegeln,spegular
Sperma,sperma
dick,spess
Dicke,spessore
spähen,spiar
