English,Occidental
sepia,~
september,septembre
septennial,settennial
septic,~
septuagenarian,settantario
sepulchre,"tombe, sepulte"
sepulchral,"lugubri, sepultorial"
sequel,"continuation, sequent parte"
sequence,sequentie; serie; órdine
sequestrate,sequestrar (-ation)
sequoia,~
seraglio,serái
seraph,seraf
sere,"sicc, marcit, marcid"
serenade,~
serene,"seren (-itá), calm"
serf,"servo, servitudario. ~dom: servitude, servage"
serge,~
sergeant,sergente
serial,a. ~; n. folieton
series,serie; sequentie
serious,"seriosi (-tá), grav"
sermon,~ (-ar)
serpent,serpente (-in)
serrated,dentat
serum,~; (in compounds) sero-
servant,servitor; domestica (-o)
serve,"servir; assister; (to be suitable) convener. it serves him right: it eveni le quo il merite, to es quo il merite"
service,n. servicie; favore; (set of china) service. to do someone a ~: compleser (-ntie)
serviceable,util
serviette,~
servile,"servil (-itá), sclavic"
servitude,"~, solavitá"
session,~
set 1.|set,"a. firm, fix, rigid; formal; regulari; obstinat; n. (collection) colection, complement; serie; (of people) clicca; circul, gruppe;"
set 2.|set,"v. arangear, adaptar, fixar, etablisser; assignar; (of liquids) solidijar; (a limb) remetter; (mount) monter; (with gems) garnir; (place) metter, posir, plazzar; (station) locar, postar; (of sun etc.) descender; (type) composter; (clock) ajustar"
set about|set|about,ataccar; comensar
set down|set|down,"notar, adscrir, atribuer; imputar"
set forth|set|forth,"presentar, exposir, monstrar; departer"
set on|set,"incitar, ataccar. ~ fire: incendiar; accender"
set out|set,"exposir; comensar: departer, demonstrar"
set to|set,"(apply oneself) devoer se, aplicar se"
set up|set,"erecter, etablisser; (give rise to) nascentar, causar"
sett,pave
settee,sofa
setter,sétter
setting,"colocation; scene, funde"
settle,"v. fixar, arangear; payar; decider; (an account) saldar; (sink) afundar; reposar; (territory) colonisar"
settled,"tranquil, constant; colonisat"
settlement,saldo; arangeament; assignatura; liquidation; (colony) colonia; (subsidence) subsedentie
seven,"sett (-anti, -esim)"
seven-sleeper,glire
sever,"separar, dejunter, detranchar"
several,"(in number) pluri, divers, diatint, separat; respectiv. severally: individualmen"
severe,"severi (-tá), violent"
sew,"suer (-tion, -tura, -tora)"
sewer,cloaca
sewerage,cloacage
sewing-machine,su-machine
sex,"sexu (-al, -alitá, -alisme)"
sexagenarian,sixantario
sextant,sextante
sexton,sacristan
shabby,"mesquin, povrachi, perusat"
shackle,n. caten; v. (in)catenar
shade,"n. ombre (-ar, -osi, -age); (degree) nuancie (-ar). lamp ~: covri lampe; (manes) manes"
shading,ombration
shadow,ombre; semblantie; v. observar
shady,"ombrosi; deshonest, suspectibil"
shaft,(arrow) fleche; (of vehicle) timon; (of mine) puteo; (of gun) tube
shaggy,"vellut, vellosi"
shah,chah
shake,v. sucusser; (tremble) tremer. to ~ hands: presser li manus
shaky,"ínstabil, labil, chancelant; tremorosi, tremid"
shale,(husk) cortice; (geol.) schist; (gravel) gravie
shallot,cebulette
shallow,superficial; ínprofund; n. bass-funde
sham,"a. fals, ne genuin, fictet; v. ficter, simular, pretexter"
shame,"pudore, honte; desgracie; v. pudentar, deshonorar, hontar"
shame-faced,"pudic, confuset, hontosi"
shameful,"hontosi, infam"
shameless,"impudent, cinic"
shampoo,n. shampun (-ar); v. lavar li cap
shank,"gambe, tibia; (stem) trunc"
shanty,cabane
shape,"n. forme (-ar), figura, modelle (-ar) ~shaped: -form"
share,"n. portion, parte; (fin.) action; v. partir, divider; distribuer; partiprender"
shareholder,actionario
shark,squale
sharp,"a. acut, acri; abrupt; astut; (words) acerb. ~sighted: perspicaci; n. (mus.) diese"
sharpen,"far acri, acutar; puntar"
shatter,"fracassar, dispezzar"
shave,v. rasar. he is shaving: il rasa se
shavings,rabotallia
shawl,chale
she,ella
sheaf,fasce; (of corn) garbe
shear,v. tonder. shears: tondette
sheath,"n. foderale, porta-espade"
shed,"n. cabane, remise; v. versar; emisser; (tears) lacrimar"
sheep,"agne (-ello, -in)"
sheepish,embarassat
sheer,"perpendiculari; abrupt, scarp"
sheet,n. folie; (bed ~) lett-linage; (metal) lámine; (naut.) scote. ~iron: lade
sheik,cheik
shelf,tabul (de scaf); planca; (geol.) shelf; riff
shell,"n. (of molluscs) conche; cruste, cortice, shell; (mil.) obus, bombe; (pea ~) silique; v. decorticar; bombardar; exsiliquar"
shelter,"n. asil, fugitoria; v. protecter, gardar; fugir; dar asil a; albergar"
shelve,"procrastinar, ajornar; (slope) scarpar"
shepherd,n. pastero; v. ducter
sherbet,sorbete
sherd,(pott~) fragment
sheriff,~
sherry,~
shield,"n. scren, egide; (armour) scude; v. defender, protecter"
shift,"n. remedie; pretexte; change; (of workman) relé, periode; v. mover, changear; vagar"
shifting,variabil
shimmer,"lucer tremorosimen, lucettear"
shin,tibia
shine,"brilliar, splender, lucer; (polish) polir"
shingles,herpes
ship,"n. nave, barca; v. inbarcar, cargar; expedir (-ition)"
shipment,"consignament, consignation"
shipwreck,naufrage (-ear)
shire,"comtia, provincia"
shirk,"evitar, negliger, decuidar"
shirt,camise
shiver,"n. frisson (-ar), tremer"
shoal,"n. multité; sable-banca, riff"
shock,n. choc (-ar); (of sheaves) garbe
shocking,"desgustant, nauseativ, repugnant"
shoddy,"a. inferiori, mesquin; n. stoffach"
shoe,n. sapate (-ero); v. (horses) ferrar
shoot,"n. (hort.) ramelle, sarment; v. tirar, fusilar ; burgeonar; (fling violently) lansar (se)"
shooting star|shooting|star,"stelle volant, meteor"
shop,"n. butíca, magasine; (workshop) ateliere; v. comprar, far li compras"
shop-keeper,buticario
shore,"borde (del mare), costa, rive, plage, litore; v. (~ up) subtener per traves, apoyar"
shorn,tondet; (deprived) privat
short,"curt, brevi; mancant; abrupt. to be ~ of: besonar, mancar"
shortcoming,manca
shorten,"acurtar, abreviar"
shorthand,stenografie. to write ~: stenografar
shortly,bentost
shorts,short
shortsighted,"ínprevident; de curt vision, miop"
shot,"n. tira, colpe; (metal missile) balle"
shoulder,n. epol. ~blades: scapul; v. metter o portar sur li epoles. ~knot: epol-lace
shout,"n. cri (-ar), clama"
shouting-,"criada, clamore; aclamation"
shove,v. pussar
shovel,"palle (-ade, -ar), spade (-ar)"
show,"v. monstrar (se), far vider, exhibir, revelar, exposir; n. presentation; parade, spectacul, performantie, exposition, exhibition"
show off|show,"* paradar, ostentar; far contrastar"
show up|show,"* exposir, decovrir, decelar, aparir"
show-case,vitrine
shower,n. pluviette
shower-bath,duche; duchuore
showery,pluviosi
showy,"ostentativ, pomposi"
shrapnel,~
shred,n. (long) pezze; lacerate; v. dispezzar
shrew,megera. shrewmouse: musaren
shrewd,"sagaci, astut"
shriek,"yella (-ar), stride, cri"
shrike,lanie
shrill,acut; strident
shrimp,crevette
shrine,"altare, reliquiere"
shrink,"contraer (se); retraer (se); (recoil) recular; (lessen) demeliorar, diminuer; hesitar avan"
shrive,"confesser, absoluer"
shrivel,"contraer se, marcir"
shroud,mort-linage; (naut.) vantes: v. invelopar
shrove tuesday|shrove,grass mardí
shrub,"arbuste, bosco (-age)"
shrug,v. levar li epoles
shudder,n. frisson (-ar)
shuffle,"v. interpussar; (cards) mixter; (~ along) trenar li pedes; (~ out of) equivocar, far pretextes, extricar se; n. evasion, artificie"
shun,"evitar, detornar se"
shunt,"bifurcar, rangear, shuntar"
shut,v. cluder; a. cludet
shutter,para-vente; (phot.) obturator
shuttle,"navette, spuliere"
shuttlecock,balls plumat
shy,a. timid; suspectiv; v. cabrar se
sibilant,~; n. sibilante
sick,malad. to be ~: (vomit) vomir. to be ~ of: esser sat de
sicken,"amaladar se, maladijar; revulser, nausear"
sickle,falce
sickly,maladiv (-itá); nauseant
sickness,maladie; nausea
side,"látere, flanca; (party) partise; afectation"
sideboard,"bufete, platiliere"
sidelight,lampe lateral
sidereal,sideral
sidelong,obliqui(men). sideways: ad látere
siding,via o linea lateral; bifurcation
siege,v. to lay ~: assediar (-ation); n. assedie
siesta,"~, pause midial"
sieve,n. cribelle (-ar)
sift,cribellar; examinar
sigh,n. sospire (-ar)
sight,"n. vision, visivitá; (view) vista, spectacul, perspective; (of gun) mire, visette. at ~: che vise. at first ~: ye prim vise; v. mirar. catch ~ of: percepter"
sightless,ciec
sign,"n. signe, marca, indicie; v. subscrir; signar"
signpost,"pale indicatori, monstra-via"
signal,n. signale. fog~: nebul-petarde; v. signalar
signatory,signatario
signature,signature; autografie
signet,sigille
signify,"significar (-ation, -ativ)"
silence,"n. silentie; v. silentiar, far tacer"
silent,~. to keep ~: tacer
silhouette,siluette
silica,"silice (-ate, -osi)"
silk,"seta (-in, -age, -eríe). artificial ~: rayonne. ~worm: bombixe"
sill,~
silly,"stult, stupid, folli, fatui, ínept, idiotic"
silo,~
silt,"slamme, depositura, sable; v. insablar se (-ament)"
silver,n. argente (-in). ~plate: argenteríe; v. inargentar
silversmith,argentero
simian,"~, simiatri"
similar,simil (-itá)
simile,comparation
simmer,"bollettar, comensar bollir"
simple,"simplic (-itá), naiv; pur"
simpleton,"naivon, ásino"
simplify,simplificar (-ation)
simply,absolutmen; (merely) solmen
simulate,simular (-ation)
simultaneous,simultan (-itá)
sin,"n. pecca (~ar, -ator, -ard)"
since 1.|since,"adv. two years ~: ante du annus. long ~: ante long témper, ja de longmen; prep. ~ that time: desde ti témpor; de tande;"
since 2.|since,conj. pro que. ~ he has come i will leave: pro que il ha venit yo va departer. it is a week ~ i saw her: ja de un semane yo plu ne ha videt la
sincere,sinceri (-tá)
sine,(geom.) sinus
sinecure,sinecura
sinew,tendon
sinful,"peccosi, peccaci"
sing,cantar (-ator)
singe,ustular
single,"a. sol, singul, unic; (unmarried) celib (-o): v. (- out) selecter"
singular,"singulari (-tá), ínusual,, apart; bizarri; n. (gramm.) singulare"
sinister,sinistri
sink,"v. submerser, descender, plongear; diminuer; (~ a shaft) excavar. ~ into: lassar se cader; n. (domestic) rinsuore, eversuore, lav-petre sinking-fund: cassa de amortisation"
sinuous,sinuosi (-tá)
sip,v. sirotar
siphon,sifon (-ar)
sir,senior
siren,sirene; (nymph) sirena
sirloin,hanche
siskin,tarine
sister,sestra. sister-in-law: bel-sestra
sit,seder. to ~ down: sedentar se; (of hens) covar
site,"loc, situation, position"
sitting,session; (hen) covada
situate,a. situat (-ion)
six,"~ (-anti, -esim)"
size,"grandore, mesura, dimension; (adhesive) glutine"
skate,"n. patine (-ar, -age, -ator, -atoria); (fish) ray"
skein,glom
skeleton,"squelette, ossage; frame"
sketch,"n. esquisse (-ar), dessine; (rough draft) cladde"
skewer,carne-clove
ski,~ (-ar)
skid,"n. para-glissa, eaten de rote; v. glissar"
skiff,canú
skilful,"habil, dexteri (-tá), versat, expert"
skill,"habilitá, dexteritá"
skim,"v. (milk) decremar, scumar; (~ through) traleer superficialmen, superglissar. skim-milk: lacte decremat"
skin,"pelle, pellicul; membrane, derma; shell, cortice; v. depellar, decorticar"
skinflint,avaron; a. parcimoniosi
skinny,"magri, ossi"
skip,v. saltettar. skipping-rope: corde por saltar
skipper,"(naut,) capitano, mastro"
skirmish,n. scarmuche (-ar)
skirt,"n. jup; (under ~) jupon; v. circumear, bordar, circumdar"
skirting board|skirting,* plinte
skit,"n. burla, joca"
skittle,kegle
skull,cranie (-al)
skulk,celar se
skunk,scunc
sky,"ciel, firmament"
skylark,alaude
skylight,tegment-fenestre
skyscraper,gratta-ciel
slab,"platte, tabulette"
slack,lax; poc rigorosi
slacken,"alaxar, devenir lax; (~ speed) desaccelerar, alentar; diminuer"
slag,scorie
slake,"calmar, desetar"
slam,"v. cluder bruosimen, cluder per un jetta claccant, far claccar"
slander,n. calumnie (-ar); v. defamar
slanderous,calumniosi
slang,"n. argote (-ic), slang"
slant,"v. esser obliqui, far obliqui; clinar; n. cline"
slap,"n. batte (-er), colpe. ~ in the face: faciata"
slash,"v. tranchar, cupar, fender"
slate,ardese. ~pencil: ardes-crayon
slattern,salopona
slaughter,"v. buchar (-ada, -ería)"
slav,"~, slavic; n. slavo (-a)"
slave,"n. sclavo, servo. slavish: servil"
slaver,v. bavar
slavery,"servitude, sclavitá, sclaveríe slay: mortar; buchar"
sledge,n. slitte (-ar)
sledge-hammer,martelle
sleek,glatt
sleep,"n. somnie (-ar, -aci, -on), dorme (-ida). to go to ~: indormir; v. dormir"
sleeper,(rail.) traverse; lette-vagon
sleepiness,"somnolentie, dormientie"
sleeping-car,lette-vagon
sleeping sickness|sleeping,maladie somnial
sleeplessness,ínsomnie
sleep-walking,somnambulisme
sleepy,"dormaci, letargic"
sleet,nivpluvie
sleeve,manche
sleigh,slitte (-ar)
sleight of hand|sleight,"escamotage, prestidigitation"
slender,"gracil, svelt; (thin) tenui"
slice,n. tranche (-ar)
slide,"v. glissar (-ada); n. (place, for sliding) glissuore; (phot.) cliché"
sliding-scale,"tarif variabil, scale variabil"
slight,"a. debil, levi; svelt, gracil; ínimportant, trivial, minimal; v. despecter, negliger"
slim,"a. gracil, svelt"
slime,slamme
sling,n. ~ (-ar); (surg.) bande
slink,"(for-)repter, reptachar"
slip,glissar; mispassuar; errar; n. erra; (garment) subjup
slipper,pantufle
slippery,"glissid, lubric"
slipshod,"negligent, salop"
slipway,glissuore (por lansar naves)
slit,"v. fender, cupar secun li longore; n. fensura"
slobber,bavar (-age)
sloe,"prunelle (-iero), prune savagi"
slogan,~
sloop,chalupe
slope,"n. declive (-ar), scarp (-ar)"
sloppy,"salop, muddosi; ínelegant"
slops,"rinsura, rinsallia"
slot,"micri apertura, fensura"
sloth,"pigresse, pigritá; (animal) plantigrade"
slothful,"índolent, tardigrad, lentaci, pigri"
slough 1.|slough,vader índolentmen
slough 2.|slough,"morasse, muddiera"
sloven,"n. salopon, sordidon"
slow,"a. lent (-ore), tard; (wearisome) enoyant; v. to be ~ (of clock) retardar. to ~ down: alentar. desaccelerar slug: limace (calcin)"
sluggard,"dormion, lentarde"
sluggish,"pesant, inert, inactiv, lentaci; (med,) limfatic"
sluice,scluse (-ero)
slum,"quarterache, slum"
slumber,"n. dorme; v. dormettar, somnolar"
slump,"n. morasse; (fall) cadida; economic depression, chomage"
slur,"n. reproche; stigma; v. trenar, traer"
slush,"nive-mudde, niv-aqua"
slut,"sordidona, salopona"
sly,"astut, secretiv, insidiosi, simulant"
smack,"n. frappa, batte, colpe; v. batter; (with lips) labie-claccar"
small,"micri, litt. ~ letter (not capital) minuscul"
small-pox,variol
smart,a. elegant; habil; vivosi; (witty) espritosi; n. dolore; v. suffrer; doler
smash,"v. fracassar, dispezzar; aplastar; (fin.) fallir; n. colision"
smattering,conossentie superficial. a smatterer in philosophy: un filosofastro
smear,"v. grassar, unguentar; (in writing) sordidar"
smell,"n. odore, malodore, aroma, parfúm; (a sniff) flare; v. (with nose) flarar; (intr.) odorar, aromar"
smelling-bottle,flar-botelle
smelt,"fonder, fuser; (fish) eperlane"
smile,"n. subride (-er), ridette"
smirch,v. assordidar
smirk,"ridettache, un afectat subride"
smite,"dar un grand colpe. his conscience smote him: il sentit remorse. smitten with: incantat per, inamorat in"
smith,forjero. smithy: forjería
smock,camise (de seniora)
smoke,"n. fum. vapore; v. fumar; (of chimney) emisser fum; (bacon etc.) fumicar, infumar"
smoker,fumator; (rail) cupé o comparti ment fumatori
smoky,"fumosi, fumant, plen de fum"
smooth,"a. glatt (-ar), polit; glissid; calm"
smother,sufocar (~ rage etc.) supresser
smoulder,"subbrular, brulettar"
smudge,sordidar
smug,self-satisfat
smuggling,"contrabande (-age, -ar, -ero)"
smut,n. floc de fulígine
snack,"colation, repastette, intermanja"
snaffle,trense
snag,"node; impediment, desavantage"
snail,helice. snail's pace: passu de helice
snake,"colubre, serpente"
snap,"v. (break) rupter, fracter. to ~ at: happar: n. (clasp) agraffe, fibul; (noise) clacca"
snapdragon,"antirrine, bocca de leon"
snare,"n. trappe (-ar, -ero), captuore"
snarl,v. grunir
snatch,"v. happar, adcapter, raffar; (~ away) eraffar; n. (of music) pezzette"
sneak,n. repton; v. (~ away) furtivmen vadar; (~ on) trahir
sneer,n. rican (-ar)
sneeze,v. sternutar (-ation)
sniff,v. snifflar (-ada); (smell) flarar
swipe,becasse
sniper,"celat tirator, franc-tirator"
snivel,plorachar
snob,"n. parvenú, snob; (shoemaker) sapatero"
snore,"n. ronca (-ar, -ada, -ator)"
snort,v. sofflar
snout,musel
snow,n. nive (-ear). snowed up: innivat. snowflake: flor de nive. snowball: bul de nive
snowdrop,flor de nive; clochette nival
snow-plough,nive-plug
snowy,"nivosi, nivatri"
snub,"v. repulser, ignorar. a. snub-nosed: stumpnasat"
snuff,sniffle-tabac
snug,"comod, comfortabil"
so,"talmen; (therefore) dunc, ergo. ~ far: til nu, til ti punctu. ~ much: tant. ~ much the better: tant plu bon. ~ that: por que. not ~ rich as: minu rich quam"
soak,"inmerser, macerar, saturar, amollar. to ~ up: absorpter"
soap,"n. sapon (-osi, -ic). ~ dish: saponette; v. insaponar"
soapsuds,"sapon-lixive soar; altear, levar se, ascender"
sob,n. singlute (-ar)
sober,a. sobri (-etá); grav; moderat; calm; v. far sobri
sociable,"sociabil, afabil (-itá)"
social,"~ (-isme, -ist, -istic), societan; n. soaré"
society,societé; (the community) societá
sociologist,"sociologo (-ie, -ic)"
sock,"demí-strumpe, strumpette; (inner sole) solea intern"
socket,"cavitá, cussinette; (of eye) ocul cave, órbite; (of tooth) alveol"
sod,torf-pezze; gazon
soda,~
sodden,saturat
sodium,natron
sofa,~
soft,"moll, tendri, mild, leni, suavi; (of voice) piani"
soften,"amollar; moderar, adulciar, lenir"
soil,"n. suol, terre; v. assordidar, macular"
soiree,soaré
sojourn,sejorne (-ar)
solace,consolar (-ation)
solar,solari
solder,v. suldar (-atura)
soldier,soldate. soldiery: soldatesca
sole,"a. sol, unic; n. (of foot) solea; (fish) solea; v. resolear"
solecism,solecisme
solemn,"solemni (-tá), grav"
solemnise,celebrar
solicit,"solicitar (-ation), aspirar a; invitar"
solicitor,"avocate, notario"
solicitous,"atentiv, cuidosi, jalusi"
solicitude,~
solid,"a. ~ (-ari, -aritá, -itá), pesant, densi; unanim; n. solide"
solidify,solidificar (se)
soliloquy,monolog
solitary,"sol, solitari; isolat"
solitude,solitá
solo,~. soloist: solist
solstice,solsticie (-al)
soluble,soluibil (-itá)
solution,~
solve,(dis)soluer
solvent,solvabil; n. solutive
sombre,"tenebrosi; melancolic, sombri"
some,"alcun;.(a few) quelc. ~ sort of: alqual. ~ quantity: alquant. ~ say he is rich, others...: li unes di que il es rich, li altres..."
some time|some|time,alquande
somebody,"alcun, alqui; (acc.) alquem"
somehow,alquam
someone,"alcun, alquí"
somersault,culbute (-ar)
something,"alquó, alquicós"
sometimes,quelcvez
somewhat,"un poc, alquant"
somewhere,alcú
somnambulist,~
somnolent,"~ (-ie), dormaci"
son,filio. son-in-law: bel-filio
sonata,~
song,"cante, canzon; arie"
songster,eant-avie
sonnet,sonetto
sonorous,sonori (-tá)
soon,bentost; (early) tost. as ~ as possible: max bentost possibil
sooner,plu tost; (rather) preferibilmen. no ~ had he gone when...: il apen departet quande...; ~ or later: tost o tard
soot,fulígine (-osi)
soothe,"calmar, lenir (-itiv), tranquilisar"
soothsayer,"augur, divinator, chiromante"
sop,calmante
sophism,sofisme
sophist,"sofist (-ic, -ica, -istisar)"
sophisticated,"sofisticat, ínnaiv"
soporific,n. dormitive
soprano,~
sorcerer,sorciero (-a)
sorcery,sorcieríe
sordid,sórdid; mesquin
sore,"a. dolorosi, iritant, iritat; n. úlcere"
sorely,fortmen
sorrel,oxale
sorrow,"n. grive, afliction; v. grivar"
sorry,"a. trist. i am ~ that: it dole me que, yo regreta que"
sort,"n. sorte, specie; v. sortir"
souffle,suflé
soul,"anim, spiritu; (person) hom"
sound,"a. san, solid, integri, valid; (of sleep) profund; n. son; (straits) strette; v. sonar, far sonar; (plumb) sondar; (seem) semblar"
soup,sup. ~tureen: supiere
sour,a. acid; rancid; brusqui
source,"fonte, orígine"
south,"n. sude (-ic, -ano)"
southern,"sudic, meridional"
southerly,"del sude, meridional"
souvenir,"memorette, suvenire"
sovereign,"a. reyal, soverani (-tá); n. soverano, monarch"
sow,"n. svina; v. semar (-ada, -ation)"
spa,"cité balneari, station balneari"
space,"n. loc, spacie (-al, -osi). ~ line: interlinea; v. interspaciar"
spade,"~, fossette; (at cards) pic; v. spadar, fossar"
span,"n. spanne (-ar); arc, curve; (of oxen) atelage; v. mesurar, extender se"
spangle,flittre
spanish-fly,cantaride
spanner,clave adjustabil
spar,"(min.) spate; (naut.) trave, maste; v. boxar"
spare,"a. superflú, disponibil; (of build) magri. ~ room: gast-chambre. ~ wheel: reserve-rot; v. indulger; economisar; far evitar a; can you ~ this?: esque to es vos superflú?, esque vu dispone to?"
sparing,"frugal, sparniaci, parcimoniosi"
spark,scintille (-ar). sparking plug: scintill-candel
sparkle,"scintillear, brilliar; n. lustre"
sparrow,sparro. ~hawk: sparvero
sparse,"rar, disperset, poc"
spasm,"convulsion, spasma (-tic)"
spasmodic,~
spatter,spruzzar
spawn,n. oves piscin; v. ovar
speak,"parlar, discurrer"
speaker,"parlator, orator"
spear,"n. lanse; v. trapicar, traforar per lanse"
special,"~ (-isar, -ist), apart, particulari"
speciality,specialitá
specie,monete metallic
species,"specie, sorte"
specific,"~, precis"
specify,specificar (-ation)
specimen,"~, mustre, exemplare"
specious,plausibil
speck,"maculette, particul; (of dust) polvun"
spectacle,spectacul (-ari)
spectacles,"oculvitres, oculares"
spectator,~
spectre,~ (-al)
spectrum,spectre. ~ analysis: spectral analise
speculate,"conjecter (-ion); (fin.) specular (-ator, -ation, -ativ)"
speech,"n. discurse, oration, parlada; (language) idioma, lingue; (faculty) parlation. figure of ~: metáfor"
speechless,mut
speed,"rapiditá, rapidore, velocitá; v. ear rapidmen. to ~ up: accelerar"
speedometer,tacometre
spell,"(enchantment) incantation, sorcie; (turn) vez; v. espelar, ortografiar"
spellbound,insorciat
spend,expenser; consumar; (time) passar
spendthrift,pródigo
sperm,sperma (-tic)
spermatozoon,spermatozóe
spew,vomir
sphere,"sfere (-ic, -oid, -ometre), globe"
sphinx,sfinxe (-atri)
spice,~ (-ear); (allspice) piment
spicy,aromatic; plen de spice
spider,"arané. spider's web: rete de arané, textura de arané"
spigot,clove lignin
spike,clove; (bot.) spica
spill,(dis)versar; n. (fall) cade; (paper ~) inflammette de papere
spin,"v. filar (-ator, -ero); (revolve) rotar. to ~ out: alongar; demorar"
spinet,spinette
spinning,"filage, filatura. ~wheel: fila-rot"
spinach,spinace. mountain ~: atriplex
spindle,"~, axe. ~ tree: evonim"
spine,"~ (-al, -osi)"
spinster,celiba(taria)
spiral,a. ~; n. spirale
spire,"pinacul, turr-punte"
spirit,"n. fantom, spirite (-ist, -isme); (genious, soul) spíritu (-al, -alitá); (alcohol) sprite. ~ level: nivelette. in high spirits: in optim humore; v. to ~ away: escamotar"
spit,"v. sputar (-age), expectorar; n. (rosting) grille, rost. turnspit: torna-pica"
spite,"n. rancore, malicie. in ~ of: malgré; v. afrontar"
spiteful,"malevolent, maliciosi, rancorosi"
spittle,"sputage, saliva"
spittoon,sputuore
splash,v. (noise) plaudar; (in mud etc.) barbotar; (spatter) surspruzzar
splashback,para-aqua
spleen,"splen, bilie"
splendid,"~, magnific, superb"
splendour,"splendore, magnificentie"
splice,interplecter
splint,(surg.) splinte
splinter,"splittre (-ar), lignun"
split,"v. fender (se), fisser (-ion, -ura); n. fension, fensura"
splutter,sputear; (speech) balbutiar
spoil,"v. bosillar, damagear, ruinar; (despoil) spoliar; (go bad) putrir; (overindulge) dorlotar"
spoils,raptallia
spoke,radion
spokesman,porta-voce
spoliation,~
sponge,"spongie (-iatri, -iosi); n. nettar per spongie. to ~ on: parasitar ye"
sponsor,"garante; (godparent) compatre, commatre"
spontaneous,spontan (-itá)
spook,fantoma
spool,"spul (-ar), bobine"
spoon,coclare. tea~: micri coclare. dessert ~: coclare a dessert. ~ful: coclarade
spoor,"tracie, vestigie"
sporadic,~
spore,spor
sport,"~; divertissement, lude. sportsman: sportmann, sportist"
sportive,festal; ludaci
spot,"n. macul; (drop) gutte; (point) punctu; v. macular; remarcar, detecter"
spotless,"ínmaculat, sin macul"
spouse,"marita, marito"
spout,n. guttiere; (of vessel) bec; v. spruzzar; (declaim) declamar
sprain,"v. luxar, torder; n. tonsura"
sprat,~
sprawl,"extender se, jacer extendet"
spray,"n. spruzzallia, jetta de aqua; v. spruzzar, aspersar"
spread,"extender (se), expander; covrir; difuser (se), dissemar. ~ out for sale: estalar"
sprig,"ramette, sarment"
sprightly,"vivaci, alegri"
spring,"n. (water) fonte; (warm ~) terme; (a leap) salta; (season) verne; (mech.) ressor. ~board: trampline, saltuore; v. fontear; saltar; (originate) provenir"
springy,"elastic, spongeatri"
sprinkle,asperser. sprinkler: spruzzette
sprite,cobolde
sprocket,dent-rote
sprout,"n. burgeon, gérmine. brussels ~: caul de bruxelles; v. germinar, burgeonar"
spruce,"a. nett, elegant; n. (fir) picea, abiete"
spur,n. sporn (-ar); stimul (-ar)
spurge,euforbie. ~ laurel: dafné
spurious,"fals, apocrifal, fictiv, ínlegitim"
spurn,"dedignar, tractar con depreciation, repulser"
spurt,"v. spruzzar. to put a ~: accelerar, hastar"
sputter,v. (speech) balbutiar
spy,"v. spiar, spionar; observar; n. spion"
squabble,"v. disputar, querellar; n. dispute, querelle"
squad,file
squadron,(mil.) escadron; (mar.) escadre
squalid,sórdid
squall,"~ (-i, -osi), burasca; v. strider"
squalor,sordidesse
squamose,squamosi
squander,"dissipar, prodigar"
square,"a. quadrat, quadriform; pari; quitt; honest; n. quadrate; (geom.) squadre; (public) plazza. ~ root: radica quadratic. t-square: quadrette. squaring: quadratura; v. quadrar; (set right) adjustar; (bribe) subcomprar; (intr.) acordar se con"
squash,"ecrasar, aplastar"
squat,a. stumpi; v. hoccar
squeak,"crepitar, cracar"
squeal,strider; (turn informer) denunciar
squeamish,"fastidiosi, scrupulosi, tro delicat"
squeeze,"compresser, serrar"
squint,"v. strabar (-ator, -isme, -on). ~eyed: strabi"
squire,scudero
squirm,torder se
squirrel,scurel
squirt,"spruzzar, asperser"
stab,"v. trapicar, punialar; n. colpe per puniale"
stable,"a. stabil (-itá, -isar) solid, fix, durabil; n. stalle; v. logiar, installar"
stack,"v. amassar, cumular; n. cumul; (hay) fen-piramide"
stadium,stadion
staff,"(pole) baston, pal: (personnel) personale, equip; (mil.) stabe; (mus.) lineatura"
stag,cervo
stage,"(theatre) scene, podium; (platform) estrade; (of progress) stadie, etappe. ~manager: regissor; v. inscenar"
stagecoach,diligence
stagefright,timore de estrade
stager,n. actor. to be an old ~: saver li trantran
stagger,chancelar; (take aback) consternar
stagnant,~ (-ie)
stagnate,stagnar (-ation)
staid,"seriosi, sobri, desfrivol"
stain,"n. macul (-ar); v. (dye) tinter (-or, -ura)"
stair,n. scalun. staircase: scaliere
stake,"n. pal, palisse (-ade); (pledge) gage; (gambling) riscage; v. palissar; (money) riscar, hasardar; pariar. to ~ out: jalonar"
stalactite,~
stalagmite,~
stale,"fad, desfrisc, old, rancid, ínsipid"
stalk,"n. stip, cálame; v. persequer"
stall,"n. (stable) stalle, manjuore; (market ~) etale, baracca; (choir ~) cor-pupitre; (theatre ~) fotel"
stallion,"cavallo, stallon"
stalwart,"brav, íntrepid"
stamen,"stámine (-al, -at, -ifer)"
stamina,"vigore, fortie vital, vitalitá"
stammer,balbutiar (-ation)
stamp,"n. (postage ~) postmarca; (instrument) stamp; (brand) stampa, impression; (character) calibre, carac tere; v. a letter) afrancar; (impress) stampar; (coins) monetar; (with feet) frappar; (of horses) piaffar"
stampede,fugida panical
stanchion,pale ferrin
